"Id";"Type";"Nature";"Caracteristique"
5542;"ajusté";"jaque";
5543;"ajusté";"jaque";"à armer"
5544;"ouvrage";"inconnue";
5545;"vêtement";"robe";
5546;"vêtement";"robe";
5547;"sous vêtement";"chausses semellée";
5548;"militaire";"chaperon de capelline";
5549;"ajusté";"gipon";
5550;"tête";"chapeau de paille";"à frenge de soie noir"
5551;"vêtement";"habit";
5552;"vêtement";"robe";
5553;"sous vêtement";"chausses";
5554;"extérieur";"tabart";
5555;"vêtement";"robe";
5556;"sous vêtement";"chausses";
5557;"vêtement";"robe";
5558;"vêtement";"robe";
5559;"mobilier";"drap de lit";
5560;"sous vêtement";"chemise";
5561;"ajusté";"gipon";
5562;"vêtement";"robe";
5563;"extérieur";"houpelande";
5564;"extérieur";"houpelande";
5565;"vêtement";"robe";
5566;"vêtement";"robe";
5567;"vêtement";"robe";
5568;"vêtement";"robe";
5569;"extérieur";"houpelande";
5570;"vêtement";"robe";
5571;"ouvrage";"inconnue";
5572;"vêtement";"robe";
5573;"vêtement";"robe";
5574;"ajusté";"gipon";
5575;"sous vêtement";"chausses";
5576;"ouvrage";"inconnue";
5577;"sous vêtement";"chausses";
5578;"vêtement";"robe";
5579;"vêtement";"robe";
5580;"autre";"longe d'épervier";
5581;"tête";"chapeau de paille";"noir"
5582;"vêtement";"robe";
5583;"extérieur";"houpelande";"freppé"
5584;"tête";"coiffe";
5585;"autre";"épingle";
5586;"cheval";"couverture de selle";
5587;"vêtement";"robe";
5588;"vêtement";"robe";
5589;"vêtement";"corps";
5590;"sous vêtement";"chausses";
5591;"vêtement";"robe";
5592;"ouvrage";"inconnue";
5593;"vêtement";"robe";
5594;"vêtement";"robe";
5595;"vêtement";"veste";"brodé de noeud"
5596;"militaire";"pennon";
5597;"extérieur";"houpelande";"long"
5598;"extérieur";"houpelande";
5599;"extérieur";"mantel";
5600;"parure";"manche";"brodé"
5601;"ajusté";"gipon";"brodé"
5602;"vêtement";"robe";"brodé"
5603;"vêtement";"robe";"brodé"
5604;"vêtement";"robe";"brodé"
5605;"vêtement";"robe";"brodé"
5606;"vêtement";"robe";"brodé"
5607;"vêtement";"robe";"brodé"
5608;"vêtement";"veste";
5609;"vêtement";"robe";
5610;"ouvrage";"inconnue";
5611;"parure";"collier";
5612;"tête";"chaperon";
5613;"parure";"bourse";
5614;"parure";"épingle";
5615;"parure";"gant";"double"
5616;"autre";"perche pour épervier";
5617;"vêtement";"robe";
5618;"tête";"chaperon";
5619;"parure";"manche";
5620;"sous vêtement";"chausses";
5621;"cheval";"couverture de selle";
5622;"ajusté";"gipon";
5623;"autre";"épingle";
5624;"tête";"coiffe";
5625;"autre";"ceinture";
5626;"autre";"escafinion";
5627;"vêtement";"robe";"brodé"
5628;"autre";"gant";
5629;"vêtement";"robe";
5630;"tête";"chaperon";
5631;"vêtement";"robe";"long"
5632;"vêtement";"robe";
5633;"sous vêtement";"drap linge";
5634;"intérieur";"garde corps";
5635;"autre";"gant";
5636;"sous vêtement";"chausses";
5637;"autre";"mitaine";
5638;"vêtement";"robe";
